raceyear,drivername,win,cumwin,racedate
1990,collins,0,3,1990-01-01
1990,coulthard,0,0,1990-01-01
1990,damon_hill,0,0,1990-01-01
1990,depailler,0,2,1990-01-01
1990,emerson_fittipaldi,0,14,1990-01-01
1990,fagioli,0,1,1990-01-01
1990,fangio,0,24,1990-01-01
1990,farina,0,5,1990-01-01
1990,fisichella,0,0,1990-01-01
1990,flaherty,0,1,1990-01-01
1990,frentzen,0,0,1990-01-01
1990,gethin,0,1,1990-01-01
1990,gilles_villeneuve,0,6,1990-01-01
1990,ginther,0,1,1990-01-01
1990,gonzalez,0,2,1990-01-01
1990,gurney,0,4,1990-01-01
1990,hakkinen,0,0,1990-01-01
1990,hamilton,0,0,1990-01-01
1990,hanks,0,1,1990-01-01
1990,hawthorn,0,3,1990-01-01
1990,herbert,0,0,1990-01-01
1990,hill,0,14,1990-01-01
1990,hulme,0,8,1990-01-01
1990,hunt,0,10,1990-01-01
1990,ickx,0,8,1990-01-01
1990,ireland,0,1,1990-01-01
1990,irvine,0,0,1990-01-01
1990,jabouille,0,2,1990-01-01
1990,jack_brabham,0,14,1990-01-01
1990,jones,0,12,1990-01-01
1990,keke_rosberg,0,5,1990-01-01
1990,kovalainen,0,0,1990-01-01
1990,kubica,0,0,1990-01-01
1990,laffite,0,6,1990-01-01
1990,lauda,0,25,1990-01-01
1990,leclerc,0,0,1990-01-01
1990,maldonado,0,0,1990-01-01
1990,mario_andretti,0,12,1990-01-01
1990,mass,0,1,1990-01-01
1990,massa,0,0,1990-01-01
1990,max_verstappen,0,0,1990-01-01
1990,mclaren,0,4,1990-01-01
1990,michael_schumacher,0,0,1990-01-01
1990,montoya,0,0,1990-01-01
1990,moss,0,16,1990-01-01
1990,musso,0,1,1990-01-01
1990,nannini,0,1,1990-01-01
1990,nilsson,0,1,1990-01-01
1990,pace,0,1,1990-01-01
1990,panis,0,0,1990-01-01
1990,parsons,0,1,1990-01-01
1990,peterson,0,10,1990-01-01
1990,phil_hill,0,3,1990-01-01
1990,pironi,0,3,1990-01-01
1990,raikkonen,0,0,1990-01-01
1990,ralf_schumacher,0,0,1990-01-01
1990,rathmann,0,1,1990-01-01
1990,regazzoni,0,5,1990-01-01
1990,reutemann,0,12,1990-01-01
1990,revson,0,2,1990-01-01
1990,ricciardo,0,0,1990-01-01
1990,rindt,0,6,1990-01-01
1990,rodriguez,0,2,1990-01-01
1990,rosberg,0,0,1990-01-01
1990,ruttman,0,1,1990-01-01
1990,scarfiotti,0,1,1990-01-01
1990,scheckter,0,10,1990-01-01
1990,siffert,0,2,1990-01-01
1990,stewart,0,27,1990-01-01
1990,surtees,0,6,1990-01-01
1990,sweikert,0,1,1990-01-01
1990,tambay,0,2,1990-01-01
1990,taruffi,0,1,1990-01-01
1990,trintignant,0,2,1990-01-01
